ModelName xsex exsec BR xsec*BR exsec*BR
L100TeV_Ctau0_001cm 2.07166 0.0136987 1.0 2.274 0.0136987
L100TeV_Ctau0_01cm 2.07166 0.0136987 1.0 2.274 0.0136987
L100TeV_Ctau0_1cm 2.07166 0.0136987 1.0 2.168 0.0136987
L100TeV_Ctau5cm 2.07166 0.0136987 1.0 2.168 0.0136987
L100TeV_Ctau10cm 2.07166 0.0136987 1.0 2.153 0.0136987
L100TeV_Ctau50cm 2.07166 0.0136987 1.0 2.153 0.0136987
L100TeV_Ctau100cm 2.07166 0.0136987 1.0 2.153 0.0136987
L100TeV_Ctau200cm 2.07166 0.0136987 1.0 2.174 0.0136987
L100TeV_Ctau400cm 2.07166 0.0136987 1.0 2.167 0.0136987
L100TeV_Ctau600cm 2.07166 0.0136987 1.0 2.189 0.0136987
L100TeV_Ctau800cm 2.07166 0.0136987 1.0 2.172 0.0136987
L100TeV_Ctau1000cm 2.08663 0.0138113 1.0 2.172 0.0138113
L100TeV_Ctau1200cm 2.09996 0.0136585 1.0 2.150 0.0136585
L100TeV_Ctau1400cm 2.09996 0.0136585 1.0 2.150 0.0136585
L100TeV_Ctau4000cm 2.08902 0.0139021 1.0 2.150 0.0139021
L100TeV_Ctau10000cm 2.09996 0.0136585 1.0 2.268 0.0136585
L100TeV_Ctau20000cm 2.09996 0.0136585 1.0 2.268 0.0136585
L150TeV_Ctau0_001cm 0.233382 0.00146533 1.0 0.2349 0.00146533
L150TeV_Ctau0_01cm 0.233382 0.00146533 1.0 0.2349 0.00146533
L150TeV_Ctau0_1cm 0.233382 0.00146533 1.0 0.2274 0.00146533
L150TeV_Ctau5cm 0.233382 0.00146533 1.0 0.2274 0.00146533
L150TeV_Ctau10cm 0.23281 0.00142633 1.0 0.2285 0.00142633
L150TeV_Ctau50cm 0.233429 0.00145059 1.0 0.2285 0.00145059
L150TeV_Ctau100cm 0.23534 0.0015068 1.0 0.2285 0.0015068
L150TeV_Ctau200cm 0.23355 0.0014491 1.0 0.2283 0.0014491
L150TeV_Ctau400cm 0.231478 0.00142961 1.0 0.2281 0.00142961
L150TeV_Ctau600cm 0.234354 0.00145855 1.0 0.2257 0.00145855
L150TeV_Ctau800cm 0.230648 0.00142842 1.0 0.2281 0.00142842
L150TeV_Ctau1000cm 0.233782 0.00151808 1.0 0.2287 0.00151808
L150TeV_Ctau1200cm 0.23179 0.0014467 1.0 0.2282 0.0014467
L150TeV_Ctau1400cm 0.23179 0.0014467 1.0 0.2282 0.0014467
L150TeV_Ctau4000cm 0.232156 0.00144465 1.0 0.2282 0.00144465
L150TeV_Ctau10000cm 0.23179 0.0014467 1.0 0.2346 0.0014467
L150TeV_Ctau20000cm 0.23179 0.0014467 1.0 0.2346 0.0014467
L200TeV_Ctau0_001cm 0.0423612 0.0002696 1.0 0.04517 0.0002696
L200TeV_Ctau0_01cm 0.0423612 0.0002696 1.0 0.04517 0.0002696
L200TeV_Ctau0_1cm 0.0428312 0.000271588 1.0 0.04454 0.000271588
L200TeV_Ctau5cm 0.0428514 0.000269899 1.0 0.04454 0.000269899
L200TeV_Ctau10cm 0.0428512 0.000276734 1.0 0.04449 0.000276734
L200TeV_Ctau50cm 0.0428876 0.00027685 1.0 0.04449 0.00027685
L200TeV_Ctau100cm 0.0425632 0.000269327 1.0 0.04449 0.000269327
L200TeV_Ctau200cm 0.0424614 0.000269627 1.0 0.04445 0.000269627
L200TeV_Ctau400cm 0.0427252 0.000274632 1.0 0.04450 0.000274632
L200TeV_Ctau600cm 0.0431458 0.000291907 1.0 0.04448 0.000291907
L200TeV_Ctau800cm 0.0423242 0.000267751 1.0 0.04464 0.000267751
L200TeV_Ctau1000cm 0.042969 0.000280197 1.0 0.0437 0.000280197
L200TeV_Ctau1200cm 0.0422256 0.000266756 1.0 0.04426 0.000266756
L200TeV_Ctau1400cm 0.0422256 0.000266756 1.0 0.04426 0.000266756
L200TeV_Ctau4000cm 0.0422256 0.000266756 1.0 0.04426 0.000266756
L200TeV_Ctau10000cm 0.0422256 0.000266756 1.0 0.04532 0.000266756
L200TeV_Ctau20000cm 0.0422256 0.000266756 1.0 0.04532 0.000266756
L250TeV_Ctau0_001cm 0.0117573 7.64433e-05 1.0 0.01282 7.64433e-05
L250TeV_Ctau0_01cm 0.0117573 7.64433e-05 1.0 0.01282 7.64433e-05
L250TeV_Ctau0_1cm 0.011709 7.48134e-05 1.0 0.01257 7.48134e-05
L250TeV_Ctau5cm 0.0116892 7.51828e-05 1.0 0.01257 7.51828e-05
L250TeV_Ctau10cm 0.0118188 7.65048e-05 1.0 0.01261 7.65048e-05
L250TeV_Ctau50cm 0.0117241 8.05928e-05 1.0 0.01261 8.05928e-05
L250TeV_Ctau100cm 0.0116602 7.55122e-05 1.0 0.01261 7.55122e-05
L250TeV_Ctau200cm 0.0118048 7.65047e-05 1.0 0.01262 7.65047e-05
L250TeV_Ctau400cm 0.0115646 7.49435e-05 1.0 0.01260 7.49435e-05
L250TeV_Ctau600cm 0.0116992 7.46739e-05 1.0 0.01261 7.46739e-05
L250TeV_Ctau800cm 0.0116992 7.46739e-05 1.0 0.01261 7.46739e-05
L250TeV_Ctau1000cm 0.0116992 7.46739e-05 1.0 0.01258 7.46739e-05
L250TeV_Ctau1200cm 0.0116992 7.46739e-05 1.0 0.01258 7.46739e-05
L250TeV_Ctau1400cm 0.0116992 7.46739e-05 1.0 0.01258 7.46739e-05
L250TeV_Ctau4000cm 0.0116992 7.46739e-05 1.0 0.01258 7.46739e-05
L250TeV_Ctau10000cm 0.0116992 7.46739e-05 1.0 0.01258 7.46739e-05
L250TeV_Ctau20000cm 0.0116992 7.46739e-05 1.0 0.01258 7.46739e-05
L300TeV_Ctau0_001cm 0.00414716 2.58247e-05 1.0 0.004495 2.58247e-05
L300TeV_Ctau0_01cm 0.00414716 2.58247e-05 1.0 0.004495 2.58247e-05
L300TeV_Ctau0_1cm 0.00418322 2.54941e-05 1.0 0.004458 2.54941e-05
L300TeV_Ctau5cm 0.00410951 2.59002e-05 1.0 0.004458 2.59002e-05
L300TeV_Ctau10cm 0.00413536 2.53971e-05 1.0 0.004452 2.53971e-05
L300TeV_Ctau50cm 0.00414544 2.54297e-05 1.0 0.004452 2.54297e-05
L300TeV_Ctau100cm 0.00418529 2.60142e-05 1.0 0.004452 2.60142e-05
L300TeV_Ctau200cm 0.00418529 2.60142e-05 1.0 0.004429 2.60142e-05
L300TeV_Ctau400cm 0.00418529 2.60142e-05 1.0 0.004449 2.60142e-05
L300TeV_Ctau600cm 0.0041645 2.50444e-05 1.0 0.004442 2.50444e-05
L300TeV_Ctau800cm 0.0041645 2.50444e-05 1.0 0.004448 2.50444e-05
