ModelName			xsec             BR                xsec*BR
M1000GeV_Ctau500mm 		0.3              1.0               0.3
M1000GeV_Ctau5000mm 		0.3              1.0               0.3
M256GeV_Ctau2190mm		0.0222           1.0               0.0222
L100TeV_Ctau0p01cm		2.18318          1.0               2.18318
L100TeV_Ctau0p1cm		2.18318          1.0               2.18318
L100TeV_Ctau5cm			2.18318          1.0               2.18318
L100TeV_Ctau10cm		2.19101          1.0               2.19101
L100TeV_Ctau50cm		2.19101          1.0               2.19101
L100TeV_Ctau100cm		2.19101          1.0               2.19101
L100TeV_Ctau200cm		2.19101          1.0               2.19101
L100TeV_Ctau400cm		2.19101          1.0               2.19101
L100TeV_Ctau600cm		2.1437           1.0               2.1437
L100TeV_Ctau800cm		2.1437           1.0               2.1437
L100TeV_Ctau1000cm		2.1437           1.0               2.1437
L100TeV_Ctau1200cm		2.10999          1.0               2.10999
L100TeV_Ctau1400cm		2.10999          1.0               2.10999
L100TeV_Ctau20000cm		2.10999          1.0               2.10999
L150TeV_Ctau0p01cm		0.217511         1.0               0.217511
L150TeV_Ctau0p1cm		0.217511         1.0               0.217511
L150TeV_Ctau5cm			0.217511         1.0               0.217511
L150TeV_Ctau10cm		0.21779          1.0               0.21779
L150TeV_Ctau50cm		0.21779          1.0               0.21779
L150TeV_Ctau100cm		0.21779          1.0               0.21779
L150TeV_Ctau200cm		0.21779          1.0               0.21779
L150TeV_Ctau400cm		0.21779          1.0               0.21779
L150TeV_Ctau600cm		0.21713          1.0               0.21713
L150TeV_Ctau800cm		0.21713          1.0               0.21713
L150TeV_Ctau1200cm		0.217984         1.0               0.217984
L150TeV_Ctau4000cm		0.217984         1.0               0.217984
L150TeV_Ctau20000cm		0.217984         1.0               0.217984
L200TeV_Ctau0p01cm		0.0401172        1.0               0.0401172
L200TeV_Ctau0p1cm		0.0401172        1.0               0.0401172
L200TeV_Ctau5cm			0.0401172        1.0               0.0401172
L200TeV_Ctau10cm		0.0400735        1.0               0.0400735
L200TeV_Ctau50cm		0.0400735        1.0               0.0400735
L200TeV_Ctau100cm		0.0400735        1.0               0.0400735
L200TeV_Ctau200cm		0.0400735        1.0               0.0400735
L200TeV_Ctau400cm		0.0400735        1.0               0.0400735
L200TeV_Ctau600cm		0.0400124        1.0               0.0400124
L200TeV_Ctau800cm		0.0400124        1.0               0.0400124
L200TeV_Ctau1200cm		0.0403603        1.0               0.0403603
L200TeV_Ctau4000cm		0.0403603        1.0               0.0403603
L200TeV_Ctau20000cm		0.0403603        1.0               0.0403603
L250TeV_Ctau0p01cm		0.0109216        1.0               0.0109216
L250TeV_Ctau0p1cm		0.0109216        1.0               0.0109216
L250TeV_Ctau5cm			0.0109216        1.0               0.0109216
L250TeV_Ctau10cm		0.0109236        1.0               0.0109236
L250TeV_Ctau50cm		0.0109236        1.0               0.0109236
L250TeV_Ctau100cm		0.0109236        1.0               0.0109236
L250TeV_Ctau200cm		0.0109236        1.0               0.0109236
L250TeV_Ctau400cm		0.0109236        1.0               0.0109236
L250TeV_Ctau600cm		0.0109279        1.0               0.0109279
L250TeV_Ctau800cm		0.0109279        1.0               0.0109279
L250TeV_Ctau1000cm		0.0109279        1.0               0.0109279
L250TeV_Ctau1200cm		0.0109101        1.0               0.0109101
L250TeV_Ctau4000cm		0.0109101        1.0               0.0109101
L250TeV_Ctau20000cm		0.0109101        1.0               0.0109101
L300TeV_Ctau0p01cm		0.00387135       1.0               0.00387135
L300TeV_Ctau0p1cm		0.00387135       1.0               0.00387135
L300TeV_Ctau5cm			0.00387135       1.0               0.00387135
L300TeV_Ctau10cm		0.0038706        1.0               0.0038706
L300TeV_Ctau50cm		0.0038706        1.0               0.0038706
L300TeV_Ctau100cm		0.0038706        1.0               0.0038706
L300TeV_Ctau200cm		0.0038706        1.0               0.0038706
L300TeV_Ctau400cm		0.0038706        1.0               0.0038706
L300TeV_Ctau600cm		0.00388035       1.0               0.00388035
L300TeV_Ctau800cm		0.00388035       1.0               0.00388035
L300TeV_Ctau1000cm		0.00388035       1.0               0.00388035
L300TeV_Ctau1200cm		0.0038618        1.0               0.0038618
L300TeV_Ctau4000cm		0.0038618        1.0               0.0038618
L300TeV_Ctau20000cm		0.0038618        1.0               0.0038618
L350TeV_Ctau0p01cm		0.00161162       1.0               0.00161162
L350TeV_Ctau0p1cm		0.00161162       1.0               0.00161162
L350TeV_Ctau5cm			0.00161162       1.0               0.00161162
L350TeV_Ctau10cm		0.00160427       1.0               0.00160427
L350TeV_Ctau50cm		0.00160427       1.0               0.00160427
L350TeV_Ctau100cm		0.00160427       1.0               0.00160427
L350TeV_Ctau200cm		0.00160427       1.0               0.00160427
L350TeV_Ctau400cm		0.00160427       1.0               0.00160427
L350TeV_Ctau600cm		0.00161068       1.0               0.00161068
L350TeV_Ctau800cm		0.00161068       1.0               0.00161068
L350TeV_Ctau1000cm		0.00161068       1.0               0.00161068
L350TeV_Ctau1200cm		0.00160865       1.0               0.00160865
L350TeV_Ctau4000cm		0.00160865       1.0               0.00160865
L350TeV_Ctau20000cm		0.00160865       1.0               0.00160865
L400TeV_Ctau0p01cm		0.00073187       1.0               0.00073187
L400TeV_Ctau0p1cm		0.00073187       1.0               0.00073187
L400TeV_Ctau5cm			0.00073187       1.0               0.00073187
L400TeV_Ctau10cm		0.000731975      1.0               0.000731975
L400TeV_Ctau50cm		0.000731975      1.0               0.000731975
L400TeV_Ctau100cm		0.000731975      1.0               0.000731975
L400TeV_Ctau200cm		0.000731975      1.0               0.000731975
L400TeV_Ctau400cm		0.000731975      1.0               0.000731975
L400TeV_Ctau600cm		0.000728273      1.0               0.000728273
L400TeV_Ctau800cm		0.000728273      1.0               0.000728273
L400TeV_Ctau1000cm		0.000728273      1.0               0.000728273
L400TeV_Ctau1200cm		0.000731161      1.0               0.000731161
L400TeV_Ctau4000cm		0.000731161      1.0               0.000731161
L400TeV_Ctau20000cm		0.000731161      1.0               0.000731161
